graph,variant,gpu,bucket,capacity,writes,reads,no_wrap
BAY,M1-shortcut,0,15,16776704,0,0,1
BAY,M2-original,1,0,16776704,828,828,1
BAY,M2-original,1,1,16776704,9221,9221,1
BAY,M2-original,1,2,16776704,34019,34019,1
BAY,M2-original,1,3,16776704,30218,30218,1
BAY,M2-original,1,4,16776704,40819,40819,1
BAY,M2-original,1,5,16776704,7306,7306,1
BAY,M2-original,1,6,16776704,941,941,1
BAY,M2-original,1,7,16776704,36,36,1
BAY,M2-original,1,8,16776704,4,4,1
BAY,M2-original,1,9,16776704,1451,1451,1
BAY,M2-original,1,10,16776704,146,146,1
BAY,M2-original,1,11,16776704,0,0,1
BAY,M2-original,1,12,16776704,0,0,1
BAY,M2-original,1,13,16776704,0,0,1
BAY,M2-original,1,14,16776704,0,0,1
BAY,M2-original,1,15,16776704,0,0,1
BAY,M2-original,0,0,16776704,0,0,1
BAY,M2-original,0,1,16776704,423,423,1
BAY,M2-original,0,2,16776704,0,0,1
BAY,M2-original,0,3,16776704,1972,1972,1
BAY,M2-original,0,4,16776704,54813,54813,1
BAY,M2-original,0,5,16776704,26972,26972,1
BAY,M2-original,0,6,16776704,32454,32454,1
BAY,M2-original,0,7,16776704,48678,48678,1
BAY,M2-original,0,8,16776704,16164,16164,1
BAY,M2-original,0,9,16776704,2965,2965,1
BAY,M2-original,0,10,16776704,1229,1229,1
BAY,M2-original,0,11,16776704,7,7,1
BAY,M2-original,0,12,16776704,0,0,1
BAY,M2-original,0,13,16776704,33,33,1
BAY,M2-original,0,14,16776704,0,0,1
BAY,M2-original,0,15,16776704,36,36,1
BAY,M2-shortcut,1,0,16776704,308,308,1
BAY,M2-shortcut,1,1,16776704,1075,1075,1
BAY,M2-shortcut,1,2,16776704,1124,1124,1
BAY,M2-shortcut,1,3,16776704,207,207,1
BAY,M2-shortcut,1,4,16776704,53869,53869,1
BAY,M2-shortcut,1,5,16776704,34,34,1
BAY,M2-shortcut,1,6,16776704,0,0,1
BAY,M2-shortcut,1,7,16776704,35359,35359,1
BAY,M2-shortcut,1,8,16776704,145,145,1
BAY,M2-shortcut,1,9,16776704,6407,6407,1
BAY,M2-shortcut,1,10,16776704,70,70,1
BAY,M2-shortcut,1,11,16776704,37,37,1
BAY,M2-shortcut,1,12,16776704,0,0,1
BAY,M2-shortcut,1,13,16776704,2091,2091,1
BAY,M2-shortcut,1,14,16776704,36,36,1
BAY,M2-shortcut,1,15,16776704,137722,137722,1
BAY,M2-shortcut,0,0,16776704,0,0,1
BAY,M2-shortcut,0,1,16776704,33,33,1
BAY,M2-shortcut,0,2,16776704,39,39,1
BAY,M2-shortcut,0,3,16776704,22248,22248,1
BAY,M2-shortcut,0,4,16776704,100432,100432,1
BAY,M2-shortcut,0,5,16776704,67567,67567,1
BAY,M2-shortcut,0,6,16776704,75436,75436,1
BAY,M2-shortcut,0,7,16776704,83612,83612,1
BAY,M2-shortcut,0,8,16776704,25345,25345,1
BAY,M2-shortcut,0,9,16776704,6702,6702,1
BAY,M2-shortcut,0,10,16776704,1305,1305,1
BAY,M2-shortcut,0,11,16776704,904,904,1
BAY,M2-shortcut,0,12,16776704,0,0,1
BAY,M2-shortcut,0,13,16776704,36,36,1
BAY,M2-shortcut,0,14,16776704,0,0,1
BAY,M2-shortcut,0,15,16776704,150,150,1
COL,M1-original,0,0,16776704,4848,4848,1
COL,M1-original,0,1,16776704,5016,5016,1
COL,M1-original,0,2,16776704,3899,3899,1
COL,M1-original,0,3,16776704,7018,7018,1
COL,M1-original,0,4,16776704,19212,19212,1
COL,M1-original,0,5,16776704,58918,58918,1
COL,M1-original,0,6,16776704,40891,40891,1
COL,M1-original,0,7,16776704,21693,21693,1
COL,M1-original,0,8,16776704,18870,18870,1
COL,M1-original,0,9,16776704,7873,7873,1
COL,M1-original,0,10,16776704,5021,5021,1
COL,M1-original,0,11,16776704,6235,6235,1
COL,M1-original,0,12,16776704,8451,8451,1
COL,M1-original,0,13,16776704,4297,4297,1
COL,M1-original,0,14,16776704,5980,5980,1
COL,M1-original,0,15,16776704,4089,4089,1
COL,M1-shortcut,0,0,16776704,5466,5466,1
COL,M1-shortcut,0,1,16776704,3949,3949,1
COL,M1-shortcut,0,2,16776704,5492,5492,1
COL,M1-shortcut,0,3,16776704,7775,7775,1
COL,M1-shortcut,0,4,16776704,26042,26042,1
COL,M1-shortcut,0,5,16776704,81381,81381,1
COL,M1-shortcut,0,6,16776704,58913,58913,1
COL,M1-shortcut,0,7,16776704,26545,26545,1
COL,M1-shortcut,0,8,16776704,23378,23378,1
COL,M1-shortcut,0,9,16776704,10506,10506,1
COL,M1-shortcut,0,10,16776704,7890,7890,1
COL,M1-shortcut,0,11,16776704,9519,9519,1
COL,M1-shortcut,0,12,16776704,9075,9075,1
COL,M1-shortcut,0,13,16776704,7876,7876,1
COL,M1-shortcut,0,14,16776704,5953,5953,1
COL,M1-shortcut,0,15,16776704,6169,6169,1
COL,M2-original,0,0,16776704,2518,2518,1
COL,M2-original,0,1,16776704,3290,3290,1
COL,M2-original,0,2,16776704,3044,3044,1
COL,M2-original,0,3,16776704,4592,4592,1
COL,M2-original,0,4,16776704,5884,5884,1
COL,M2-original,0,5,16776704,5892,5892,1
COL,M2-original,0,6,16776704,8675,8675,1
COL,M2-original,0,7,16776704,5948,5948,1
COL,M2-original,0,8,16776704,21443,21443,1
COL,M2-original,0,9,16776704,18745,18745,1
COL,M2-original,0,10,16776704,5281,5281,1
COL,M2-original,0,11,16776704,7012,7012,1
COL,M2-original,0,12,16776704,7197,7197,1
COL,M2-original,0,13,16776704,4814,4814,1
COL,M2-original,0,14,16776704,6865,6865,1
COL,M2-original,0,15,16776704,6821,6821,1
COL,M2-original,1,0,16776704,47,47,1
COL,M2-original,1,1,16776704,246,246,1
COL,M2-original,1,2,16776704,2198,2198,1
COL,M2-original,1,3,16776704,3445,3445,1
COL,M2-original,1,4,16776704,11123,11123,1
COL,M2-original,1,5,16776704,38220,38220,1
COL,M2-original,1,6,16776704,31967,31967,1
COL,M2-original,1,7,16776704,15689,15689,1
COL,M2-original,1,8,16776704,3732,3732,1
COL,M2-original,1,9,16776704,2335,2335,1
COL,M2-original,1,10,16776704,1749,1749,1
COL,M2-original,1,11,16776704,485,485,1
COL,M2-original,1,12,16776704,406,406,1
COL,M2-original,1,13,16776704,2548,2548,1
COL,M2-original,1,14,16776704,1506,1506,1
COL,M2-original,1,15,16776704,1739,1739,1
COL,M2-shortcut,0,0,16776704,7147,7147,1
COL,M2-shortcut,0,1,16776704,3731,3731,1
COL,M2-shortcut,0,2,16776704,3861,3861,1
COL,M2-shortcut,0,3,16776704,8408,8408,1
COL,M2-shortcut,0,4,16776704,12388,12388,1
COL,M2-shortcut,0,5,16776704,8152,8152,1
COL,M2-shortcut,0,6,16776704,9197,9197,1
COL,M2-shortcut,0,7,16776704,7009,7009,1
COL,M2-shortcut,0,8,16776704,25004,25004,1
COL,M2-shortcut,0,9,16776704,20066,20066,1
COL,M2-shortcut,0,10,16776704,7533,7533,1
COL,M2-shortcut,0,11,16776704,9074,9074,1
COL,M2-shortcut,0,12,16776704,11367,11367,1
COL,M2-shortcut,0,13,16776704,8536,8536,1
COL,M2-shortcut,0,14,16776704,6653,6653,1
COL,M2-shortcut,0,15,16776704,6857,6857,1
COL,M2-shortcut,1,0,16776704,996,996,1
COL,M2-shortcut,1,1,16776704,579,579,1
COL,M2-shortcut,1,2,16776704,3004,3004,1
COL,M2-shortcut,1,3,16776704,1267,1267,1
COL,M2-shortcut,1,4,16776704,1135,1135,1
COL,M2-shortcut,1,5,16776704,65357,65357,1
COL,M2-shortcut,1,6,16776704,53906,53906,1
COL,M2-shortcut,1,7,16776704,25710,25710,1
COL,M2-shortcut,1,8,16776704,7957,7957,1
COL,M2-shortcut,1,9,16776704,3049,3049,1
COL,M2-shortcut,1,10,16776704,3338,3338,1
COL,M2-shortcut,1,11,16776704,2117,2117,1
COL,M2-shortcut,1,12,16776704,3521,3521,1
COL,M2-shortcut,1,13,16776704,1420,1420,1
COL,M2-shortcut,1,14,16776704,1564,1564,1
COL,M2-shortcut,1,15,16776704,906,906,1
FLA,M1-original,0,0,16776704,31892,31892,1
FLA,M1-original,0,1,16776704,41805,41805,1
FLA,M1-original,0,2,16776704,63735,63735,1
FLA,M1-original,0,3,16776704,137743,137743,1
FLA,M1-original,0,4,16776704,81933,81933,1
FLA,M1-original,0,5,16776704,36610,36610,1
FLA,M1-original,0,6,16776704,32388,32388,1
FLA,M1-original,0,7,16776704,15558,15558,1
FLA,M1-original,0,8,16776704,26183,26183,1
FLA,M1-original,0,9,16776704,23168,23168,1
FLA,M1-original,0,10,16776704,25914,25914,1
FLA,M1-original,0,11,16776704,40045,40045,1
FLA,M1-original,0,12,16776704,42341,42341,1
FLA,M1-original,0,13,16776704,54456,54456,1
FLA,M1-original,0,14,16776704,48295,48295,1
FLA,M1-original,0,15,16776704,34876,34876,1
FLA,M1-shortcut,0,0,16776704,41730,41730,1
FLA,M1-shortcut,0,1,16776704,52569,52569,1
FLA,M1-shortcut,0,2,16776704,98541,98541,1
FLA,M1-shortcut,0,3,16776704,169031,169031,1
FLA,M1-shortcut,0,4,16776704,108598,108598,1
FLA,M1-shortcut,0,5,16776704,54102,54102,1
FLA,M1-shortcut,0,6,16776704,41085,41085,1
FLA,M1-shortcut,0,7,16776704,24580,24580,1
FLA,M1-shortcut,0,8,16776704,34154,34154,1
FLA,M1-shortcut,0,9,16776704,23400,23400,1
FLA,M1-shortcut,0,10,16776704,48483,48483,1
FLA,M1-shortcut,0,11,16776704,49038,49038,1
FLA,M1-shortcut,0,12,16776704,44801,44801,1
FLA,M1-shortcut,0,13,16776704,65224,65224,1
FLA,M1-shortcut,0,14,16776704,61269,61269,1
FLA,M1-shortcut,0,15,16776704,42794,42794,1
FLA,M2-original,0,0,16776704,739,739,1
FLA,M2-original,1,0,16776704,24949,24949,1
FLA,M2-original,1,1,16776704,29438,29438,1
FLA,M2-original,1,2,16776704,44330,44330,1
FLA,M2-original,1,3,16776704,73787,73787,1
FLA,M2-original,1,4,16776704,48687,48687,1
FLA,M2-original,1,5,16776704,16316,16316,1
FLA,M2-original,1,6,16776704,27672,27672,1
FLA,M2-original,1,7,16776704,15259,15259,1
FLA,M2-original,1,8,16776704,15049,15049,1
FLA,M2-original,1,9,16776704,10044,10044,1
FLA,M2-original,1,10,16776704,13082,13082,1
FLA,M2-original,1,11,16776704,17682,17682,1
FLA,M2-original,1,12,16776704,21209,21209,1
FLA,M2-original,1,13,16776704,30873,30873,1
FLA,M2-original,1,14,16776704,31247,31247,1
FLA,M2-original,1,15,16776704,71707,71707,1
FLA,M2-original,0,1,16776704,1643,1643,1
FLA,M2-original,0,2,16776704,2059,2059,1
FLA,M2-original,0,3,16776704,796,796,1
FLA,M2-original,0,4,16776704,2978,2978,1
FLA,M2-original,0,5,16776704,11648,11648,1
FLA,M2-original,0,6,16776704,1326533,1326533,1
FLA,M2-original,0,7,16776704,3383,3383,1
FLA,M2-original,0,8,16776704,2758,2758,1
FLA,M2-original,0,9,16776704,2518,2518,1
FLA,M2-original,0,10,16776704,151,151,1
FLA,M2-original,0,11,16776704,7,7,1
FLA,M2-original,0,12,16776704,5,5,1
FLA,M2-original,0,13,16776704,671,671,1
FLA,M2-original,0,14,16776704,190,190,1
FLA,M2-original,0,15,16776704,39,39,1
FLA,M2-shortcut,0,0,16776704,33509,33509,1
FLA,M2-shortcut,0,1,16776704,47084,47084,1
FLA,M2-shortcut,0,2,16776704,48746,48746,1
FLA,M2-shortcut,0,3,16776704,91096,91096,1
FLA,M2-shortcut,0,4,16776704,52803,52803,1
FLA,M2-shortcut,0,5,16776704,24195,24195,1
FLA,M2-shortcut,0,6,16776704,14222,14222,1
FLA,M2-shortcut,0,7,16776704,15470,15470,1
FLA,M2-shortcut,0,8,16776704,9613,9613,1
FLA,M2-shortcut,0,9,16776704,6613,6613,1
FLA,M2-shortcut,0,10,16776704,3700,3700,1
FLA,M2-shortcut,0,11,16776704,4724,4724,1
FLA,M2-shortcut,0,12,16776704,4343,4343,1
FLA,M2-shortcut,0,13,16776704,33812,33812,1
FLA,M2-shortcut,0,14,16776704,28199,28199,1
FLA,M2-shortcut,0,15,16776704,31902,31902,1
FLA,M2-shortcut,1,0,16776704,37177,37177,1
FLA,M2-shortcut,1,1,16776704,41079,41079,1
FLA,M2-shortcut,1,2,16776704,71020,71020,1
FLA,M2-shortcut,1,3,16776704,85941,85941,1
FLA,M2-shortcut,1,4,16776704,68856,68856,1
FLA,M2-shortcut,1,5,16776704,19418,19418,1
FLA,M2-shortcut,1,6,16776704,29141,29141,1
FLA,M2-shortcut,1,7,16776704,16093,16093,1
FLA,M2-shortcut,1,8,16776704,18682,18682,1
FLA,M2-shortcut,1,9,16776704,16490,16490,1
FLA,M2-shortcut,1,10,16776704,21238,21238,1
FLA,M2-shortcut,1,11,16776704,20404,20404,1
FLA,M2-shortcut,1,12,16776704,19680,19680,1
FLA,M2-shortcut,1,13,16776704,28144,28144,1
FLA,M2-shortcut,1,14,16776704,29054,29054,1
FLA,M2-shortcut,1,15,16776704,115148,115148,1
CAL,M1-original,0,0,16776704,161011,161011,1
CAL,M1-original,0,1,16776704,114739,114739,1
CAL,M1-original,0,2,16776704,117970,117970,1
CAL,M1-original,0,3,16776704,214207,214207,1
CAL,M1-original,0,4,16776704,147846,147846,1
CAL,M1-original,0,5,16776704,93176,93176,1
CAL,M1-original,0,6,16776704,38674,38674,1
CAL,M1-original,0,7,16776704,42708,42708,1
CAL,M1-original,0,8,16776704,29720,29720,1
CAL,M1-original,0,9,16776704,37225,37225,1
CAL,M1-original,0,10,16776704,66982,66982,1
CAL,M1-original,0,11,16776704,48703,48703,1
CAL,M1-original,0,12,16776704,70423,70423,1
CAL,M1-original,0,13,16776704,73116,73116,1
CAL,M1-original,0,14,16776704,81864,81864,1
CAL,M1-original,0,15,16776704,152173,152173,1
CAL,M1-shortcut,0,0,16776704,134002,134002,1
CAL,M1-shortcut,0,1,16776704,93071,93071,1
CAL,M1-shortcut,0,2,16776704,98189,98189,1
CAL,M1-shortcut,0,3,16776704,142134,142134,1
CAL,M1-shortcut,0,4,16776704,107646,107646,1
CAL,M1-shortcut,0,5,16776704,77591,77591,1
CAL,M1-shortcut,0,6,16776704,46903,46903,1
CAL,M1-shortcut,0,7,16776704,42841,42841,1
CAL,M1-shortcut,0,8,16776704,31765,31765,1
CAL,M1-shortcut,0,9,16776704,39001,39001,1
CAL,M1-shortcut,0,10,16776704,67052,67052,1
CAL,M1-shortcut,0,11,16776704,54643,54643,1
CAL,M1-shortcut,0,12,16776704,80833,80833,1
CAL,M1-shortcut,0,13,16776704,77278,77278,1
CAL,M1-shortcut,0,14,16776704,90231,90231,1
CAL,M1-shortcut,0,15,16776704,140838,140838,1
CAL,M2-original,0,0,16776704,73905,73905,1
CAL,M2-original,1,0,16776704,5930,5930,1
CAL,M2-original,1,1,16776704,1703,1703,1
CAL,M2-original,1,2,16776704,1063,1063,1
CAL,M2-original,1,3,16776704,1158141,1158141,1
CAL,M2-original,1,4,16776704,279539,279539,1
CAL,M2-original,1,5,16776704,200703,200703,1
CAL,M2-original,1,6,16776704,117260,117260,1
CAL,M2-original,1,7,16776704,26547,26547,1
CAL,M2-original,1,8,16776704,13883,13883,1
CAL,M2-original,1,9,16776704,7495,7495,1
CAL,M2-original,1,10,16776704,9149,9149,1
CAL,M2-original,1,11,16776704,8044,8044,1
CAL,M2-original,1,12,16776704,6515,6515,1
CAL,M2-original,1,13,16776704,5282,5282,1
CAL,M2-original,1,14,16776704,7925,7925,1
CAL,M2-original,1,15,16776704,9663,9663,1
CAL,M2-original,0,1,16776704,54812,54812,1
CAL,M2-original,0,2,16776704,37538,37538,1
CAL,M2-original,0,3,16776704,57457,57457,1
CAL,M2-original,0,4,16776704,30438,30438,1
CAL,M2-original,0,5,16776704,17813,17813,1
CAL,M2-original,0,6,16776704,14582,14582,1
CAL,M2-original,0,7,16776704,17447,17447,1
CAL,M2-original,0,8,16776704,11988,11988,1
CAL,M2-original,0,9,16776704,22631,22631,1
CAL,M2-original,0,10,16776704,32344,32344,1
CAL,M2-original,0,11,16776704,25577,25577,1
CAL,M2-original,0,12,16776704,42648,42648,1
CAL,M2-original,0,13,16776704,31966,31966,1
CAL,M2-original,0,14,16776704,26603,26603,1
CAL,M2-original,0,15,16776704,59873,59873,1
CAL,M2-shortcut,0,0,16776704,101886,101886,1
CAL,M2-shortcut,1,0,16776704,13852,13852,1
CAL,M2-shortcut,1,1,16776704,391339,391339,1
CAL,M2-shortcut,1,2,16776704,4053,4053,1
CAL,M2-shortcut,1,3,16776704,3491,3491,1
CAL,M2-shortcut,1,4,16776704,2927,2927,1
CAL,M2-shortcut,1,5,16776704,1546,1546,1
CAL,M2-shortcut,1,6,16776704,488,488,1
CAL,M2-shortcut,1,7,16776704,1404,1404,1
CAL,M2-shortcut,1,8,16776704,2466505,2466505,1
CAL,M2-shortcut,1,9,16776704,7,7,1
CAL,M2-shortcut,1,10,16776704,760,760,1
CAL,M2-shortcut,1,11,16776704,42,42,1
CAL,M2-shortcut,1,12,16776704,35,35,1
CAL,M2-shortcut,1,13,16776704,2388817,2388817,1
CAL,M2-shortcut,1,14,16776704,32606,32606,1
CAL,M2-shortcut,1,15,16776704,20563,20563,1
CAL,M2-shortcut,0,1,16776704,68434,68434,1
CAL,M2-shortcut,0,2,16776704,29638,29638,1
CAL,M2-shortcut,0,3,16776704,18025,18025,1
CAL,M2-shortcut,0,4,16776704,16039,16039,1
CAL,M2-shortcut,0,5,16776704,14083,14083,1
CAL,M2-shortcut,0,6,16776704,12074,12074,1
CAL,M2-shortcut,0,7,16776704,3222849,3222849,1
CAL,M2-shortcut,0,8,16776704,13446,13446,1
CAL,M2-shortcut,0,9,16776704,9263,9263,1
CAL,M2-shortcut,0,10,16776704,8843,8843,1
CAL,M2-shortcut,0,11,16776704,10058,10058,1
CAL,M2-shortcut,0,12,16776704,8664,8664,1
CAL,M2-shortcut,0,13,16776704,441748,441748,1
CAL,M2-shortcut,0,14,16776704,122888,122888,1
CAL,M2-shortcut,0,15,16776704,91105,91105,1
E,M1-original,0,0,16776704,61321,61321,1
E,M1-original,0,1,16776704,55015,55015,1
E,M1-original,0,2,16776704,70886,70886,1
E,M1-original,0,3,16776704,81830,81830,1
E,M1-original,0,4,16776704,115889,115889,1
E,M1-original,0,5,16776704,259415,259415,1
E,M1-original,0,6,16776704,306742,306742,1
E,M1-original,0,7,16776704,239462,239462,1
E,M1-original,0,8,16776704,191256,191256,1
E,M1-original,0,9,16776704,116464,116464,1
E,M1-original,0,10,16776704,107690,107690,1
E,M1-original,0,11,16776704,144590,144590,1
E,M1-original,0,12,16776704,157711,157711,1
E,M1-original,0,13,16776704,78706,78706,1
E,M1-original,0,14,16776704,75028,75028,1
E,M1-original,0,15,16776704,76804,76804,1
E,M1-shortcut,0,0,16776704,95627,95627,1
E,M1-shortcut,0,1,16776704,87623,87623,1
E,M1-shortcut,0,2,16776704,100441,100441,1
E,M1-shortcut,0,3,16776704,111232,111232,1
E,M1-shortcut,0,4,16776704,158623,158623,1
E,M1-shortcut,0,5,16776704,349539,349539,1
E,M1-shortcut,0,6,16776704,398854,398854,1
E,M1-shortcut,0,7,16776704,271833,271833,1
E,M1-shortcut,0,8,16776704,216362,216362,1
E,M1-shortcut,0,9,16776704,137937,137937,1
E,M1-shortcut,0,10,16776704,124903,124903,1
E,M1-shortcut,0,11,16776704,157199,157199,1
E,M1-shortcut,0,12,16776704,179727,179727,1
E,M1-shortcut,0,13,16776704,107447,107447,1
E,M1-shortcut,0,14,16776704,93062,93062,1
E,M1-shortcut,0,15,16776704,109045,109045,1
E,M2-original,0,0,16776704,48780,48780,1
E,M2-original,0,1,16776704,38659,38659,1
E,M2-original,0,2,16776704,43709,43709,1
E,M2-original,0,3,16776704,39866,39866,1
E,M2-original,0,4,16776704,42974,42974,1
E,M2-original,0,5,16776704,43683,43683,1
E,M2-original,0,6,16776704,67857,67857,1
E,M2-original,0,7,16776704,77018,77018,1
E,M2-original,0,8,16776704,139246,139246,1
E,M2-original,0,9,16776704,94056,94056,1
E,M2-original,0,10,16776704,119978,119978,1
E,M2-original,0,11,16776704,172623,172623,1
E,M2-original,0,12,16776704,161875,161875,1
E,M2-original,0,13,16776704,55379,55379,1
E,M2-original,0,14,16776704,54508,54508,1
E,M2-original,0,15,16776704,55326,55326,1
E,M2-original,1,0,16776704,15116,15116,1
E,M2-original,1,1,16776704,20075,20075,1
E,M2-original,1,2,16776704,34544,34544,1
E,M2-original,1,3,16776704,42546,42546,1
E,M2-original,1,4,16776704,59463,59463,1
E,M2-original,1,5,16776704,176616,176616,1
E,M2-original,1,6,16776704,192788,192788,1
E,M2-original,1,7,16776704,119868,119868,1
E,M2-original,1,8,16776704,72786,72786,1
E,M2-original,1,9,16776704,39486,39486,1
E,M2-original,1,10,16776704,37410,37410,1
E,M2-original,1,11,16776704,51140,51140,1
E,M2-original,1,12,16776704,47244,47244,1
E,M2-original,1,13,16776704,32489,32489,1
E,M2-original,1,14,16776704,18071,18071,1
E,M2-original,1,15,16776704,17336,17336,1
E,M2-shortcut,1,0,16776704,24237,24237,1
E,M2-shortcut,1,1,16776704,29529,29529,1
E,M2-shortcut,1,2,16776704,45932,45932,1
E,M2-shortcut,1,3,16776704,61783,61783,1
E,M2-shortcut,1,4,16776704,91270,91270,1
